,자치구,연번,시장명,주소,"건물형
(연면적)","점포수
(빈점포제외)"
,강북구,6,수유북부시장,"강북구 삼양로91가길 19              
(수유동 수유동405-5)","3,995",23
,강북구,7,강북종합시장,"강북구 한천로148길 12-43                 
(수유동 179-5)","3,311",12
,강북구,8,동북시장,"강북구 솔샘로 233                      
(미아동 701-3)","7,097",32
,강북구,9,"솔샘시장                      (미아6,7동골목시장)",강북구 솔샘로50길 4                              (미아동 1345)일대,"2,905",27
,강북구,10,"수유전통시장
(구)수유골목시장","강북구 도봉로67길                    
(수유동 53,54)일대","5,151",50
,강북구,11,수유재래시장,"강북구 도봉로67길                  
(수유동 53,54)일대","5,367",115
,강북구,12,수유프라자,"강북구 도봉로 261                   
(수유동 63)","20,953",58
,강북구,13,우이골목시장,"강북구 노해로23길 76                
(수유동 수유동 270-120)일대","4,775",67
,강북구,14,"강북종합전통시장
(구)강북종합골목시장","강북구 한천로144길 26                      
(수유동 175-61)일대","5,504",88
,강북구,15,장미원골목시장,"강북구 삼양로123길 9,11,13
(수유동 313-1,2,8)일대","11,624",94
,강북구,16,수유중앙골목시장,"강북구 노해로17길 16,24                      (수유동38-18,32)일대","4,438",28
,강북구,17,번동북부골목시장,"강북구 한천로123길 27,31             
(번동 411-18,93)일대","1,077",17
,강북구,18,방천골목시장,"강북구 월계로7나길 9              
(미아동1345, 698-3)일대","4,993",54
,도봉구,계,6,,,396
,도봉구 ,1,방학동도깨비시장,"도봉구 도당로13가길 17
(방학동 633-15)","15,243",103
,도봉구 ,2,창동신창시장,"도봉구 덕릉로57길 17 
(창동 578-47)","11,219",78
,도봉구 ,3,창동골목시장,"도봉구 덕릉로 58길 16
(창동 557-45)","7,325",64
,도봉구 ,4,신도봉시장,"도봉구 도당로27길 60 
(도봉동 611)","1,810",25
,도봉구 ,5,쌍문역골목시장,"도봉구 도봉로113길 20
(쌍문동 94-29)","3,860",78
,도봉구 ,6,백운시장,"도봉구 삼양로154길 42
(쌍문동495-9)","2,368",48
,노원구,계,3,,,207
,노원구,1,상계시장,"노원구 덕릉로 102길 5               
(상계동 95-3)","4,992",19
,노원구,2,공릉동 도깨비시장,"노원구 동일로 180길 37               
(공릉동 566-20)","15,669",120
,노원구,3,상계중앙시장,"노원구 상계로27길 32
(상계동 389-641 외 49필지)","21,913",68
,은평구,계,14,,,809
,은평구,1,녹번시장,"은평구 은평로204-4
(응암동 74-7)",614,39
,은평구,2,연서시장,"은평구통일로850
(불광동 310-118 ,310-200)","1,594",93
,은평구,3,갈현시장,"은평구 갈현로 300                    
 (갈현동 424-16)","1,758",0
,은평구,4,역촌중앙시장,"은평구 연서로17길18-6                    
(갈현동 467-1)","4,912",46
,은평구,5,증산종합시장,"은평구 증산로3길 12
(증산동 184-9)","2,171",60
,은평구,6,대림시장,"은평구 응암로4길20,22,24,26,26-1,26-3
(응암동 754-1)","3,223",104
,은평구,7,양지시장,"은평구 응암로4길20,22,24,26,26-1,26-3
(응암동 754-1)","1,244",4
,은평구,8,응암시장,"은평구 응암로 252 
(응암동 427-126)","1,688",10
,은평구,9,제일시장,"은평구 대조동 14-1, 21
(통일로731(대조동))","2,293",52
,은평구,10,수일시장,"은평구 수색로16길 5-1 
(수색동 368-24)","1,074",0
,은평구,11,신응암시장,"은평구 응암로22길3-1
(응암동427-130~113)","1,700",50
,은평구,12,대조시장,"은평구 진흥로 153 
(대조동 12, 26번지 일대)","3,400",77
,은평구,13,대림골목시장,"은평구 응암로12길8 
(응암동602-1~31번지750-1~ 695-22일대)","3,030",69
,은평구,14,연신내상점가,"은평구 통일로85길6-12                 
(갈현동393-400번지 일대)","16,394",205
,서대문,계,10,,,717
,서대문,1,유진상가,"서대문구 통일로 484
(연희동 131-1)","6,606",101
,서대문,2,백련시장,"서대문구 가재울로6길 53-87
(남가좌동 345-4)","6,865",26
,서대문,3,모래내시장,"서대문구 수색로2길 45
(남가좌동 290-2)","1,361",34
,서대문,4,서중시장,"서대문구 수색로2길 47
(남가좌동 286-35)","2,256",61
,서대문,5,인왕시장,"서대문구 인왕시장길 18
(홍제동 298)","4,321",114
,서대문,6,영천시장,"서대문구 영천시장길 27
(영천동 294)","2,485",71
,서대문,7,포방터시장,"서대문구 포방터길 46
(홍은동 9-160)","7,310",63
,서대문,8,연희사러가,"서대문구 연희맛로 23
(연희동 131-1)","3,719",34
,서대문,9,이대 앞 스타트업 상점가,"서대문구 이화여대길 74
(대현동 34-33)","3,416",78
,서대문,10,"이화여대 3,5,7길 상점가","서대문구 이화여대 5길 23,
1층
(대현동 37-18)","10,660",135
,마포구 ,계,16,,,"1,368"
,마포구 ,1,공덕시장,"마포구 만리재로19
(공덕동 256-10 )","1,699",43
,마포구 ,2,마포시장,마포구 마포대로6길30                                (공덕동265-5),"1,689",78
,마포구 ,3,동진시장,"마포구 성미산로198
(연남동 227-15)",492,17
,마포구 ,4,영진시장,"마포구 동교로12길21
(서교동 485-14)","3,761",13
,마포구 ,5,염리시장,"마포구 숭문길96(염리동)
(염리동 36-249)","4,563",0
,마포구 ,6,서교시장,"마포구 홍익로3길20
(서교동 357-1)","12,640",54
,마포구 ,7,합정시장,"마포구 양화진길5(합정동, 합정아파트)
(합정동 375-1)","5,433",11
,마포구 ,8,마포농수산물시장,"마포구 월드컵로235
(성산동 533-1)","17,319",144
,마포구 ,9,신수시장,"마포구 토정로17길17
(신수동 288-1)","1,092",3
,마포구 ,10,망원동월드컵시장,"마포구 망원로7길31
(망원동 424-7)","5,473",49
,마포구 ,11,망원시장,"마포구 망원동8길7
(망원동 486-37)","11,159",79
,마포구 ,12,아현시장,"마포구 굴레방로9길 17
(아현동 327-10)","18,849",168
,마포구 ,13,용강동 상점가,"마포구 마포대로1길 16              
(용강동 50-16)","9,242",274
,마포구 ,14,도화동 상점가,"마포구 마포대로 68(도화동, 
마포아크로타워) (도화동 563)","5,650",146
,마포구 ,15,상암동상점가 ,"마포구 월드컵북로44길33         
(상암동 33-1)","5,558",139
,마포구 ,16,홍대 걷고싶은 거리,"마포구 어울마당로141
(동교동 169-8)","5,135",150
,양천구,계,15,,,995
,양천구 ,1,신곡종합시장,"양천구 남부순환로79길 37
(신월6동 575-17)","1,150",10
,양천구 ,2,신정제일시장,"양천구 중앙로34길 30
(신정1동 1030-6)","1,340",16
,양천구 ,3,목2동시장,"양천구 목동중앙북로16길 3
(목2동 526)","3,020",87
,양천구 ,4,목3동시장,"양천구 목동중앙북로6길 5
(목3동 617-13)","5,106",79
,양천구 ,5,목4동시장,"양천구 목동중앙남로 7길 8       
(목동 726-18)","1,970",78
,양천구 ,6,월정로시장,"양천구 월정로29길 3
(신월1동 114-1)","2,230",121
,양천구 ,7,신영시장,"양천구 월정로 161-5
(신월1동 114-18)","4,520",136
,양천구 ,8,경창시장,"양천구 오목로9길 31
(신월2동 447-8)","2,320",64
,양천구 ,9,신월3동 골목시장,"양천구 남부순환로40가길 13
(신월3동 181-1)",964,50
,양천구 ,10,신월6동 골목시장,"양천구 달맞이1길 7                
(신월동 574-15)","2,190",98
,양천구 ,11,"신월7동 골목시장
(약수시장)","양천구 자양로 82                
(자양동 627-21)",480,22
,양천구 ,12,신정1동 골목시장,"양천구 중앙로34길 28               
(신정동 1029-1)","1,560",68
,양천구 ,13,신정2동 골목시장,"양천구 신목로2길 35-2             
(신정동 127-19)","3,102",62
,양천구 ,14,신정3동 골목시장,"양천구 중앙로 43길 26           
(신정동 1181-16)","2,650",85
,양천구 ,15,우성상가,"양천구 지양로 78
(신월7동 928-1)","5,035",19
,강서구,계,12,,,646
,강서구,1,공항시장,"강서구 방화동로3길 7
(방화동 620-17)","3,582",7
,강서구,2,남부화곡시장,"강서구 등촌로5길 80 
(화곡동 830-1)","2,314",19
,강서구,3,대원종합시장,"강서구 화곡로21길 78 
(화곡동 1023)","2,739",28
,강서구,4,신월중앙시장,"강서구 강서로 54길 109
(화곡동 929-1)","1,943",11
,강서구,5,화곡중앙시장,"강서구 월정로 30길 69
(화곡동 370-76)","1,939",6
,강서구,6,등마루시장,"강서구 화곡로 68길 120 
(등촌동 637-10)","2,325",7
,강서구,7,까치산시장,"강서구 강서로12길 14
(강서구 화곡동 342-16)","26,139",119
,강서구,8,남부골목시장,"강서구 등촌로5길 62-4
(화곡동 801-9","21,776",153
,강서구,9,방신재래시장,"강서구 방화동로16길 32
(강서구 방화동 567-23)","6,963",123
,강서구,10,화곡중앙골목시장,"강서구 월정로30길 63
(화곡동 370-37)","9,436",66
,강서구,11,화곡본동시장,"강서구 까치산로 35 
(화곡동 98-45)","5,805",51
,강서구,12,송화골목시장,"강서구 내발산1길 43
(강서구 내발산동 720-4)","26,319",56
,구로구,계,8,,,525
,구로구,1,구로시장,"구로구 구로동로22길 20-27      
(구로동 735-168)","8,307",154
,구로구,2,오류시장,"구로구 경인로19가길 14-1          
(오류동 38-7)","3,730",12
,구로구,3,개봉중앙시장,"구로구 개봉로17길 34             
(개봉동 324-1)","1,515",18
,구로구,4,고척근린시장,"구로구 경인로33길 98-3    
(고척동 257-12번지 외)","2,006",60
,구로구,5,"남구로시장
(舊 구로자율시장)",구로구 구로동로26길 33,"23,967",174
,구로구,6,고척프라자,"구로구 중앙로10길 7                  
(고척동 50-48)","11,965",1
,구로구,7,개봉프라자,"구로구 고척로40길 19               
(고척동 269-1)","9,974",36
,구로구,8,가리봉시장 ,"구로구 가리봉동 123-79    
(가리봉동 123-79)","8,859",70
,금천구,계,8,,,868
,금천구,1,남문시장,"금천구 시흥대로144길 17 
(독산동 984-10)","13,079",116
,금천구,2,현대시장,"금천구 독산로41길 7 
(시흥동 856~888)","23,598",230
,금천구,3,대명시장,"금천구 시흥대로52길 70 
(시흥동 884-5)","2,521",42
,금천구,4,대명여울빛거리,"금천구 시흥대로 58길 36(시흥동)
(시흥동 885)","22,929",224
,금천구,5,은행나무시장,"금천구 금하로25길  (시흥동)  
(시흥동 828-22~40)","1,765",64
,금천구,6,독산동 우시장,"금천구 범안로 1209 
(독산동 293-5,6 외 3필지)","3,937",189
,금천구,7,박미시장,"금천구 시흥대로18길 16 
(시흥동 956)","2,297",3
,금천구,8,푸른터시장,"금천구 남부순환로120길 23 푸른터 
(금천구 독산동 957)","6,973",0
,영등포구,계,25,,,"4,019"
,영등포구,1,양남시장,"영등포구 선유동1로 5
(양평동1가 30)","2,052",16
,영등포구,2,삼구시장,영등포구 영등포동5가 19,"3,464",59
,영등포구,3,동남상가,"영등포구 영등포로37길 4
(영등포동5가 24)","5,722",63
,영등포구,4,영신상가,"영등포구 영등포로 225                    
(영등포동5가 18)","10,253",159
,영등포구,5,도림시장,"영등포구 도영로 50
(도림동 176)","4,156",36
,영등포구,6,신동시장,영등포구 신길동 259,"1,877",1
,영등포구,7,영등포기계상가,"영등포구 영등포로 39
(양평동1가 247)","14,285",155
,영등포구,8,대신시장,"영등포구 도신로60길 7
(신길동 116-15)","12,129",86
,영등포구,9,사러가시장,"영등포구 신길로 155
(신길동 254-1)","6,614",73
,영등포구,10,신영사러가시장,"영등포구 가마산로69가길 17
(신길동 255-9)","2,472",4
